trip_number,departure,arrival,target,number_people,company,flught_num
1000,Мозамбик ст. Тотьма пер. Высоковольтный д. 57 367455,Мозамбик д. Богучар бул. Луначарского д. 782 к. 46 682515,посещение семьи/друзей,69,Продимекс-Холдинг,1000
1001,Эквадор д. Гудермес пр. Славянский д. 46 к. 7 464103,Эквадор ст. Калач-на-Дону пер. Волочаевский д. 902 к. 1 218446,бизнес,37,РАО «Нестеров Рыбакова»,1001
1002,Сан-Томе и Принсипи клх Усть-Кулом наб. Химиков д. 54 стр. 18 635798,Сан-Томе и Принсипи к. Макаров пер. Томский д. 368 к. 6 600889,шопинг,68,ИП «Кулаков-Королева»,1002
1003,Южный Судан д. Уэлен ул. Комарова д. 163 659647,Южный Судан п. Вендинга наб. Циолковского д. 2 582512,бизнес,48,ЗАО «Кудрявцев Гусева и Лазарева»,1003
1004,Фиджи г. Усть-Баргузин наб. Вишневая д. 2/3 стр. 4/9 513678,Фиджи г. Голицыно ул. Деповская д. 5/6 750093,отдых,76,АО «Сафонов Рожкова и Ларионов»,1004
1005,Гаити д. Красная Поляна ш. Калинина д. 275 587284,Гаити ст. Анадырь ул. Прохладная д. 80 441206,посещение семьи/друзей,40,Зиновьев Инк,1005
1006,Судан с. Жигулевск ш. Новгородское д. 315 стр. 83 308096,Судан п. Поярково пер. Минина д. 8/5 стр. 371 738078,шопинг,5,ОАО «Фомина Сергеев и Субботина»,1006
1007,Эритрея с. Вытегра наб. Российская д. 769 стр. 7/1 743643,Эритрея ст. Рославль ш. Ломоносова д. 4 960546,учеба,4,ИП «Кузнецова Куликов и Исакова»,1007
1008,Панама п. Бологое ул. Горького д. 2/2 941515,Панама п. Невьянск бул. Революционный д. 40 стр. 4 677061,учеба,39,РАО «Копылов»,1008
1009,Дания п. Шаховская алл. Заливная д. 91 к. 3 732937,Дания г. Байкальск алл. Родниковая д. 7/7 стр. 1/9 262399,посещение семьи/друзей,69,Мамонтов Лтд,1009
1010,Гайана г. Устюжна ш. Лермонтова д. 7/2 стр. 9 265131,Гайана ст. Одинцово бул. Астраханский д. 5/4 стр. 2/6 940735,шопинг,42,НПО «Князев Тарасова и Петухов»,1010
1011,Центральноафриканская Республика с. Шаховская алл. Амурская д. 2 к. 37 131914,Центральноафриканская Республика с. Горячий Ключ ш. Казачье д. 3 стр. 612 534971,лечение,36,РАО «Суворов»,1011
1012,Мальдивы клх Сергиев Посад ул. Луговая д. 359 стр. 718 466428,Мальдивы с. Мыс Шмидта пер. Леваневского д. 934 стр. 95 450015,посещение семьи/друзей,70,ОАО «Прохоров»,1012
1013,Дания ст. Углич пр. Энергетиков д. 65 к. 892 792562,Дания к. Карабулак пер. Лазурный д. 57 стр. 13 668653,отдых,75,РАО «Евдокимов Терентьева»,1013
1014,Либерия д. Мезень пр. Толстого д. 1/3 530590,Либерия п. Новая Игирма пр. Линейный д. 56 стр. 302 676990,шопинг,39,ОАО «Зиновьева»,1014
1015,Гана ст. Белорецк пер. Пугачева д. 97 к. 1/9 873857,Гана ст. Слюдянка бул. Приозерный д. 8/5 659606,лечение,71,Егоров Лимитед,1015
1016,Испания ст. Владикавказ ш. Строителей д. 695 к. 4/8 907540,Испания к. Томари бул. Азина д. 4 стр. 35 894083,бизнес,77,АО «Карпов Горшков и Иванова»,1016
1017,ОАЭ к. Великие Луки ул. З.Космодемьянской д. 5 стр. 2 672212,ОАЭ к. Камень-на-Оби ш. 8-е Марта д. 20 163947,лечение,28,ОАО «Брагина-Лаврентьева»,1017
1018,Катар ст. Красноуральск пер. Тимирязева д. 7/8 стр. 863 320119,Катар д. Кабанск ш. Калужское д. 7/9 к. 5 590556,отдых,82,НПО «Козлов Бобылев и Самойлова»,1018
1019,Сан-Томе и Принсипи к. Игнашино пр. Механический д. 75 341460,Сан-Томе и Принсипи ст. Апрелевка пр. Астраханский д. 2 517650,отдых,63,ГВСУ по специальным объектам,1019
1020,Центральноафриканская Республика клх Верхний Баскунчак пр. Мирный д. 56 стр. 22 121784,Центральноафриканская Республика с. Шахты ул. Новоселов д. 4 530703,посещение семьи/друзей,8,ЗАО «Туров-Ковалев»,1020
1021,Вануату к. Озеры бул. Смоленский д. 772 стр. 307 375502,Вануату ст. Балтийск алл. Радищева д. 3 273776,бизнес,18,ООО «Буров»,1021
1022,Филиппины п. Тамбов ш. Интернациональное д. 75 к. 9/6 197736,Филиппины клх Новочеркасск наб. Ветеранов д. 747 к. 855 132193,посещение семьи/друзей,26,АО «Савин-Бирюков»,1022
1023,Ирак к. Калачинск пер. Мирный д. 8 691503,Ирак ст. Канск ш. Поселковое д. 7/5 284057,шопинг,81,ОАО «Фомичева-Фролов»,1023
1024,Фиджи д. Билибино пр. Советов д. 54 689661,Фиджи клх Елец ул. Детская д. 6/7 558894,учеба,49,ИП «Кудрявцева Кудрявцева»,1024
1025,Боливия д. Хасан ул. Энгельса д. 215 стр. 1/6 174722,Боливия п. Калевала наб. Ломоносова д. 636 стр. 3 879507,шопинг,79,Башкирская содовая компания,1025
1026,Вьетнам с. Вологда бул. Шевченко д. 5/9 стр. 8 838837,Вьетнам клх Макаров пер. Хвойный д. 2 стр. 79 917959,бизнес,10,ИП «Чернова Уварова»,1026
1027,ЮАР ст. Каменномостский наб. Урицкого д. 7/7 341545,ЮАР к. Катав-Ивановск пер. Карбышева д. 4 стр. 1 282445,бизнес,24,Мерседес-Бенц Рус (Mercedes-Benz),1027
1028,Пакистан д. Нарьян-Мар алл. Иванова д. 959 стр. 6/6 655158,Пакистан к. Дудинка ш. Попова д. 63 к. 7/2 188029,отдых,84,ЗАО «Никонова Тихонов»,1028
1029,КНДР с. Павловская ш. Жданова д. 98 к. 1/7 543765,КНДР клх Троицк (Челяб.) бул. Сплавный д. 94 к. 93 976734,лечение,30,РАО «Туров Дроздова»,1029
1030,Эквадор ст. Бодайбо ш. Осипенко д. 989 стр. 599 822360,Эквадор г. Можайск наб. Пограничная д. 33 507893,посещение семьи/друзей,94,Мосводоканал,1030
1031,Армения клх Серафимович пер. Малиновый д. 105 стр. 3/2 393711,Армения г. Серов бул. Правды д. 37 стр. 58 755867,бизнес,76,ООО «Чернова-Кудряшов»,1031
1032,Сенегал д. Светлогорск (Калин.) бул. Крупской д. 1/1 249417,Сенегал ст. Дубна ул. Южная д. 46 стр. 72 361025,отдых,4,РАО «Киселев Дьячкова и Ефремов»,1032
1033,Узбекистан с. Североуральск бул. Ленинградский д. 4/5 к. 92 224113,Узбекистан к. Сухиничи бул. Приозерный д. 1/4 066287,бизнес,46,ООО «Меркушев Мельников и Беспалов»,1033
1034,Сан-Томе и Принсипи п. Поронайск пер. Тургенева д. 51 стр. 30 592268,Сан-Томе и Принсипи п. Красноуральск бул. Сибирский д. 300 к. 342 326391,отдых,41,ОАО «Полякова Гордеева»,1034
1035,Оман клх Находка наб. Западная д. 3/6 стр. 17 614232,Оман п. Красногорск (Моск.) бул. Хвойный д. 449 302616,посещение семьи/друзей,43,РАО «Симонова Шарапов»,1035
1036,Никарагуа г. Камень-на-Оби ш. Калужское д. 1 к. 1/3 798359,Никарагуа к. Сосьва (Хант.) пр. Олимпийский д. 3/9 077768,посещение семьи/друзей,45,ЗАО «Устинов Зиновьева и Буров»,1036
1037,Барбадос д. Волгоград пер. Марта 8 д. 6/3 стр. 9 330694,Барбадос п. Сосьва (Хант.) ш. Волочаевское д. 35 стр. 47 893687,посещение семьи/друзей,60,АО «Зиновьев Шашкова»,1037
1038,Руанда ст. Тутаев пр. Профсоюзный д. 624 стр. 128 806687,Руанда г. Нарьян-Мар пер. Орловский д. 5 к. 1 117918,посещение семьи/друзей,88,ЗАО «Кудрявцева Петухов и Гущин»,1038
1039,Судан п. Раменское ш. Путейское д. 4 стр. 88 168841,Судан клх Москва алл. Привокзальная д. 894 к. 9 580818,отдых,99,НПО «Фомичева Турова и Силин»,1039
1040,Тонга ст. Хоста алл. Профсоюзная д. 3/4 стр. 581 409820,Тонга г. Шелехов бул. Уральский д. 52 к. 2/6 556372,посещение семьи/друзей,11,АО «Никонов Рыбаков и Марков»,1040
1041,Лесото с. Ревда (Сверд.) пер. Севастопольский д. 9/2 к. 3/2 388240,Лесото п. Кировск (Мурм.) пер. Пограничный д. 5 стр. 3/6 649262,отдых,50,ВТБ,1041
1042,Намибия клх Усть-Ишим ш. Пожарского д. 3 602576,Намибия ст. Юрьев-Польский бул. Сибирский д. 5/1 стр. 5 590646,шопинг,35,НПО «Воронцова Бобров и Шубина»,1042
1043,Кувейт г. Кировск (Мурм.) пр. Ключевой д. 2 к. 183 506896,Кувейт г. Сузун пр. З.Космодемьянской д. 448 стр. 2 798026,отдых,88,Антонов Лимитед,1043
1044,Дания клх Колпашево алл. Портовая д. 4/6 225225,Дания п. Оленегорск (Якут.) алл. Путевая д. 840 стр. 9 258092,бизнес,7,Степанова Групп,1044
1045,Никарагуа ст. Нарьян-Мар пер. Урицкого д. 5 стр. 25 462502,Никарагуа г. Верхний Баскунчак бул. Новосельский д. 26 к. 72 447113,учеба,14,ООО «Фролова Капустин»,1045
1046,КНДР с. Бомнак алл. Гражданская д. 8 915193,КНДР ст. Ербогачен пер. Фабричный д. 1 стр. 63 064225,бизнес,71,Московский метрополитен,1046
1047,Индонезия к. Грозный наб. Горная д. 255 к. 89 826091,Индонезия г. Вязьма ул. Октября д. 283 стр. 586 983734,шопинг,99,ИП «Журавлева-Сазонов»,1047
1048,Иран п. Королев ш. Курортное д. 1/2 072534,Иран ст. Братск пер. Пирогова д. 767 244180,шопинг,30,ОАО «Артемьев-Михайлов»,1048
1049,Гондурас клх Камень-на-Оби пер. Одесский д. 28 стр. 69 808605,Гондурас к. Борзя бул. Средний д. 403 стр. 625 253110,лечение,26,ИП «Воронов-Куликов»,1049
1050,Венесуэла ст. Шенкурск пр. Герцена д. 2 273012,Венесуэла г. Углегорск бул. Толстого д. 556 стр. 37 434814,лечение,99,ЗАО «Носова Бобылева и Наумов»,1050
1051,Китай п. Кизел пр. Западный д. 52 к. 7 486133,Китай д. Дагомыс пер. Станиславского д. 9/3 к. 611 902670,лечение,98,ООО «Соколова-Рябова»,1051
1052,Мадагаскар г. Черняховск бул. Вишневый д. 35 стр. 21 084308,Мадагаскар ст. Забайкальск ш. Строительное д. 2/8 к. 17 843422,бизнес,46,ИП «Попов Белозеров и Князев»,1052
1053,Лаос клх Ульяновск пер. Крупской д. 5 121474,Лаос г. Кудымкар пер. Элеваторный д. 6 097551,посещение семьи/друзей,40,Кузьмин Лимитед,1053
1054,Руанда клх Сунтар наб. Жуковского д. 132 стр. 351 607661,Руанда г. Домодедово ул. Папанина д. 312 к. 422 182577,посещение семьи/друзей,7,ОАО «Прохорова Чернова»,1054
1055,Йемен клх Ивдель ул. Дружба д. 524 стр. 27 564942,Йемен к. Таштагол наб. Поперечная д. 27 стр. 7/1 776267,бизнес,78,ИП «Рожкова»,1055
1056,Сербия п. Тотьма пер. 8 Марта д. 784 стр. 4/6 915764,Сербия с. Гагарин бул. Придорожный д. 5 стр. 241 629249,лечение,49,ИП «Субботин Дьячкова и Щербакова»,1056
1057,Боливия д. Воронеж ул. Уральская д. 11 к. 5 935285,Боливия г. Сунтар пер. Севастопольский д. 10 к. 2 774716,бизнес,13,ИП «Архипова»,1057
1058,Бутан п. Новороссийск наб. Максима Горького д. 4 022197,Бутан с. Александровск бул. Студенческий д. 6/6 232170,лечение,39,Арконик СМЗ,1058
1059,Ирак д. Борзя наб. Красина д. 241 стр. 85 402259,Ирак п. Королев алл. Нагорная д. 33 к. 270 892321,шопинг,5,ОАО «Костин Воронова и Громова»,1059
1060,Соломоновы Острова ст. Рязань ул. Нижняя д. 28 517703,Соломоновы Острова п. Александров ш. Смоленское д. 2/7 к. 58 364197,отдых,61,Продимекс-Холдинг,1060
1061,Вьетнам клх Комсомольск-на-Амуре наб. Бабушкина д. 668 к. 9/5 415728,Вьетнам п. Усмань пр. Подгорный д. 6 стр. 3/9 802684,бизнес,78,РАО «Дементьева Пахомова и Васильев»,1061
1062,Ливан п. Сухиничи ш. Дальневосточное д. 9/4 к. 90 619276,Ливан д. Камень-на-Оби ул. Ворошилова д. 3/8 252752,шопинг,25,Райффайзенбанк (Raiffeisen),1062
1063,Бельгия к. Гремячинск (Бурят.) алл. Тукая д. 5 стр. 10 967227,Бельгия с. Кузнецк алл. Полтавская д. 2 к. 827 127948,шопинг,49,ОАО «Романов»,1063
1064,Израиль клх Новороссийка бул. Бабушкина д. 3 стр. 422 047059,Израиль д. Беслан бул. Тимирязева д. 4 к. 8 019666,бизнес,77,НПО «Григорьев Турова»,1064
1065,Бельгия п. Куртамыш ул. Дарвина д. 370 к. 2 024631,Бельгия п. Тихвин алл. 70 лет Октября д. 9 442089,отдых,75,ООО «Потапов Беспалов»,1065
1066,Китай ст. Губкин пер. Подгорный д. 1 к. 4/3 187659,Китай к. Владикавказ алл. Чайковского д. 6 к. 119 011785,посещение семьи/друзей,46,Носков Групп,1066
1067,Гана к. Агинское (Забайк.) ш. Курортное д. 678 стр. 7 620244,Гана ст. Сладково пр. Тепличный д. 851 стр. 80 415521,лечение,29,Корпорация Гринн,1067
1068,Лаос п. Александров Гай бул. Интернациональный д. 9 146659,Лаос с. Светлогорск (Калин.) пер. Королева д. 6/7 361905,отдых,55,Фадеева Лимитед,1068
